createdAt;value
2019-09-10T18:04:27.000Z;1.90
2019-09-10T18:05:27.000Z;2.40
2019-09-10T18:06:27.000Z;2.30
2019-09-10T18:07:27.000Z;2.10
2019-09-10T18:08:27.000Z;2.20
2019-09-10T18:09:28.000Z;2.10
2019-09-10T18:10:28.000Z;2.10
2019-09-10T18:11:28.000Z;2.50
2019-09-10T18:12:28.000Z;2.30
2019-09-10T18:13:28.000Z;2.00
2019-09-10T18:14:28.000Z;2.30
2019-09-10T18:15:28.000Z;2.20
2019-09-10T18:16:28.000Z;2.40
2019-09-10T18:17:28.000Z;2.70
2019-09-10T18:18:28.000Z;2.40
2019-09-10T18:19:28.000Z;2.40
2019-09-10T18:20:29.000Z;2.60
2019-09-10T18:21:29.000Z;3.00
2019-09-10T18:22:29.000Z;2.40
2019-09-10T18:23:29.000Z;3.20
2019-09-10T18:24:29.000Z;2.40
2019-09-10T18:25:29.000Z;2.60
2019-09-10T18:26:29.000Z;2.30
2019-09-10T18:27:29.000Z;2.40
2019-09-10T18:28:29.000Z;1.90
2019-09-10T18:29:29.000Z;2.40
2019-09-10T18:30:29.000Z;2.40
2019-09-10T18:31:30.000Z;2.70
2019-09-10T18:32:30.000Z;2.40
2019-09-10T18:33:30.000Z;2.20
2019-09-10T18:34:30.000Z;2.60
2019-09-10T18:35:30.000Z;2.30
2019-09-10T18:36:30.000Z;2.90
2019-09-10T18:37:30.000Z;3.00
2019-09-10T18:38:30.000Z;2.90
2019-09-10T18:39:30.000Z;3.10
2019-09-10T18:40:30.000Z;2.50
2019-09-10T18:41:31.000Z;2.80
2019-09-10T18:42:31.000Z;2.90
2019-09-10T18:43:31.000Z;3.00
2019-09-10T18:44:31.000Z;3.20
2019-09-10T18:45:31.000Z;3.10
2019-09-10T18:46:31.000Z;3.20
2019-09-10T18:47:31.000Z;3.40
2019-09-10T18:48:31.000Z;3.20
2019-09-10T18:49:31.000Z;3.10
2019-09-10T18:50:31.000Z;2.90
2019-09-10T18:51:31.000Z;2.90
2019-09-10T18:52:32.000Z;2.80
2019-09-10T18:53:32.000Z;3.10
2019-09-10T18:54:32.000Z;3.10
2019-09-10T18:55:32.000Z;2.90
2019-09-10T18:56:32.000Z;3.00
2019-09-10T18:57:32.000Z;2.70
2019-09-10T18:58:32.000Z;2.20
2019-09-10T18:59:32.000Z;2.60
2019-09-10T19:00:32.000Z;2.30
2019-09-10T19:01:32.000Z;2.90
2019-09-10T19:02:32.000Z;2.90
2019-09-10T19:03:33.000Z;2.50
2019-09-10T19:04:33.000Z;3.10
2019-09-10T19:05:33.000Z;3.60
2019-09-10T19:06:33.000Z;2.50
2019-09-10T19:07:33.000Z;2.70
2019-09-10T19:08:33.000Z;2.90
2019-09-10T19:09:33.000Z;2.50
2019-09-10T19:10:33.000Z;2.80
2019-09-10T19:11:33.000Z;3.00
2019-09-10T19:12:33.000Z;3.00
2019-09-10T19:13:34.000Z;2.70
2019-09-10T19:14:34.000Z;2.80
2019-09-10T19:15:34.000Z;3.00
2019-09-10T19:16:34.000Z;3.00
2019-09-10T19:17:34.000Z;3.30
2019-09-10T19:18:34.000Z;3.80
2019-09-10T19:19:34.000Z;2.90
2019-09-10T19:20:34.000Z;3.10
2019-09-10T19:21:34.000Z;3.00
2019-09-10T19:22:34.000Z;3.00
2019-09-10T19:23:34.000Z;2.60
2019-09-10T19:24:35.000Z;2.70
2019-09-10T19:25:35.000Z;2.80
2019-09-10T19:26:35.000Z;2.60
2019-09-10T19:27:35.000Z;2.60
2019-09-10T19:28:35.000Z;2.70
2019-09-10T19:29:35.000Z;2.90
2019-09-10T19:30:35.000Z;2.50
2019-09-10T19:31:35.000Z;2.50
2019-09-10T19:32:35.000Z;2.40
2019-09-10T19:33:35.000Z;2.70
2019-09-10T19:34:35.000Z;2.40
2019-09-10T19:35:36.000Z;2.70
2019-09-10T19:36:36.000Z;2.60
2019-09-10T19:37:36.000Z;2.40
2019-09-10T19:38:36.000Z;2.60
2019-09-10T19:39:36.000Z;2.50
2019-09-10T19:40:36.000Z;2.60
2019-09-10T19:41:36.000Z;2.20
2019-09-10T19:42:36.000Z;3.00
2019-09-10T19:43:36.000Z;2.40
2019-09-10T19:44:36.000Z;2.60
2019-09-10T19:45:36.000Z;2.20
2019-09-10T19:46:37.000Z;2.20
2019-09-10T19:47:37.000Z;2.00
2019-09-10T19:48:37.000Z;2.20
2019-09-10T19:49:37.000Z;2.00
2019-09-10T19:50:37.000Z;1.70
2019-09-10T19:51:37.000Z;2.10
2019-09-10T19:52:37.000Z;1.70
2019-09-10T19:53:37.000Z;1.80
2019-09-10T19:54:37.000Z;1.60
2019-09-10T19:55:37.000Z;1.70
2019-09-10T19:56:38.000Z;1.90
2019-09-10T19:57:38.000Z;2.00
2019-09-10T19:58:38.000Z;2.20
2019-09-10T19:59:38.000Z;2.00
2019-09-10T20:00:38.000Z;2.20
2019-09-10T20:01:38.000Z;2.10
2019-09-10T20:02:38.000Z;2.20
2019-09-10T20:03:38.000Z;2.20
2019-09-10T20:04:38.000Z;2.30
2019-09-10T20:05:38.000Z;2.00
2019-09-10T20:06:38.000Z;1.90
2019-09-10T20:07:39.000Z;2.00
2019-09-10T20:08:39.000Z;1.80
2019-09-10T20:09:39.000Z;2.40
2019-09-10T20:10:39.000Z;1.70
2019-09-10T20:11:39.000Z;1.50
2019-09-10T20:12:39.000Z;2.00
2019-09-10T20:13:39.000Z;2.10
2019-09-10T20:14:39.000Z;2.00
2019-09-10T20:15:39.000Z;2.00
2019-09-10T20:16:39.000Z;2.30
2019-09-10T20:17:39.000Z;2.10
2019-09-10T20:18:40.000Z;2.10
2019-09-10T20:19:40.000Z;1.60
2019-09-10T20:20:40.000Z;1.80
2019-09-10T20:21:40.000Z;2.10
2019-09-10T20:22:40.000Z;2.10
2019-09-10T20:23:40.000Z;1.90
2019-09-10T20:24:40.000Z;2.20
2019-09-10T20:25:40.000Z;2.20
2019-09-10T20:26:40.000Z;2.10
2019-09-10T20:27:40.000Z;2.10
2019-09-10T20:28:40.000Z;1.90
2019-09-10T20:29:41.000Z;2.10
2019-09-10T20:30:41.000Z;2.20
2019-09-10T20:31:41.000Z;2.40
2019-09-10T20:32:41.000Z;2.60
2019-09-10T20:33:41.000Z;2.70
2019-09-10T20:34:41.000Z;2.40
2019-09-10T20:35:41.000Z;2.20
2019-09-10T20:36:41.000Z;2.40
2019-09-10T20:37:41.000Z;2.00
2019-09-10T20:38:41.000Z;2.30
2019-09-10T20:39:42.000Z;2.40
2019-09-10T20:40:42.000Z;2.90
2019-09-10T20:41:42.000Z;2.20
2019-09-10T20:42:42.000Z;2.20
2019-09-10T20:43:42.000Z;2.50
2019-09-10T20:44:42.000Z;2.40
2019-09-10T20:45:42.000Z;2.10
2019-09-10T20:46:42.000Z;2.70
2019-09-10T20:47:42.000Z;2.80
2019-09-10T20:48:42.000Z;2.30
2019-09-10T20:49:42.000Z;2.30
2019-09-10T20:50:43.000Z;2.60
2019-09-10T20:51:43.000Z;2.30
2019-09-10T20:52:43.000Z;2.60
2019-09-10T20:53:43.000Z;2.20
2019-09-10T20:54:43.000Z;2.40
2019-09-10T20:55:43.000Z;2.40
2019-09-10T20:56:43.000Z;2.20
2019-09-10T20:57:43.000Z;2.60
2019-09-10T20:58:43.000Z;2.20
2019-09-10T20:59:43.000Z;2.30
2019-09-10T21:00:43.000Z;2.50
2019-09-10T21:01:44.000Z;2.40
2019-09-10T21:02:44.000Z;2.60
2019-09-10T21:03:44.000Z;2.00
2019-09-10T21:04:44.000Z;2.20
2019-09-10T21:05:44.000Z;2.00
2019-09-10T21:06:44.000Z;2.30
2019-09-10T21:07:44.000Z;2.00
2019-09-10T21:08:44.000Z;2.20
2019-09-10T21:09:44.000Z;2.20
2019-09-10T21:10:44.000Z;2.40
2019-09-10T21:11:44.000Z;2.70
2019-09-10T21:12:45.000Z;2.60
2019-09-10T21:13:45.000Z;2.70
2019-09-10T21:14:45.000Z;2.60
2019-09-10T21:15:45.000Z;2.50
2019-09-10T21:16:45.000Z;2.90
2019-09-10T21:17:45.000Z;4.30
2019-09-10T21:18:45.000Z;3.30
2019-09-10T21:19:45.000Z;3.20
2019-09-10T21:20:45.000Z;3.50
2019-09-10T21:21:45.000Z;4.40
2019-09-10T21:22:46.000Z;4.40
2019-09-10T21:23:46.000Z;3.70
2019-09-10T21:24:46.000Z;4.00
2019-09-10T21:25:46.000Z;4.00
2019-09-10T21:26:46.000Z;4.00
2019-09-10T21:27:46.000Z;3.50
2019-09-10T21:28:46.000Z;3.50
2019-09-10T21:29:46.000Z;3.40
2019-09-10T21:30:46.000Z;3.50
2019-09-10T21:31:46.000Z;3.30
2019-09-10T21:32:46.000Z;4.10
2019-09-10T21:33:47.000Z;3.50
2019-09-10T21:34:47.000Z;3.80
2019-09-10T21:35:47.000Z;4.90
2019-09-10T21:36:47.000Z;5.20
2019-09-10T21:37:47.000Z;5.10
2019-09-10T21:38:47.000Z;4.80
2019-09-10T21:39:47.000Z;4.50
2019-09-10T21:40:47.000Z;5.00
2019-09-10T21:41:47.000Z;3.30
2019-09-10T21:42:47.000Z;4.60
2019-09-10T21:43:47.000Z;7.20
2019-09-10T21:44:48.000Z;4.10
2019-09-10T21:45:48.000Z;5.30
2019-09-10T21:46:48.000Z;5.10
2019-09-10T21:47:48.000Z;6.00
2019-09-10T21:48:48.000Z;5.10
2019-09-10T21:49:48.000Z;5.80
2019-09-10T21:50:48.000Z;5.50
2019-09-10T21:51:48.000Z;5.30
2019-09-10T21:52:48.000Z;4.30
2019-09-10T21:53:48.000Z;4.00
2019-09-10T21:54:49.000Z;3.20
2019-09-10T21:55:49.000Z;3.60
2019-09-10T21:56:49.000Z;3.90
2019-09-10T21:57:49.000Z;3.90
2019-09-10T21:58:49.000Z;4.00
2019-09-10T21:59:49.000Z;4.20
2019-09-10T22:00:49.000Z;4.40
2019-09-10T22:01:49.000Z;4.70
2019-09-10T22:02:49.000Z;4.50
2019-09-10T22:03:49.000Z;4.90
2019-09-10T22:04:49.000Z;4.80
2019-09-10T22:05:50.000Z;4.60
2019-09-10T22:06:50.000Z;5.00
2019-09-10T22:07:50.000Z;4.60
2019-09-10T22:08:50.000Z;4.80
2019-09-10T22:09:50.000Z;4.50
2019-09-10T22:10:50.000Z;5.50
2019-09-10T22:11:50.000Z;7.70
2019-09-10T22:12:50.000Z;9.30
2019-09-10T22:13:50.000Z;8.00
