createdAt;value_hum;value_pm;value_temp
2019-09-09T23:24:45.000Z;70.07;2.80;12.80
2019-09-09T23:25:45.000Z;70.28;3.30;12.79
2019-09-09T23:26:45.000Z;70.48;3.80;12.79
2019-09-09T23:27:45.000Z;70.38;3.90;12.77
2019-09-09T23:28:45.000Z;70.38;3.80;12.76
2019-09-09T23:29:45.000Z;70.48;3.90;12.73
2019-09-09T23:30:45.000Z;70.51;4.00;12.71
2019-09-09T23:31:45.000Z;70.72;4.10;12.67
2019-09-09T23:32:45.000Z;70.92;3.90;12.66
2019-09-09T23:33:46.000Z;71.02;3.70;12.63
2019-09-09T23:34:46.000Z;71.23;4.00;12.59
2019-09-09T23:35:46.000Z;71.43;4.00;12.58
2019-09-09T23:36:46.000Z;71.53;3.70;12.55
2019-09-09T23:37:46.000Z;71.63;3.70;12.54
2019-09-09T23:38:46.000Z;71.67;3.60;12.51
2019-09-09T23:39:46.000Z;71.77;4.20;12.48
2019-09-09T23:40:46.000Z;71.87;4.00;12.48
2019-09-09T23:41:46.000Z;71.87;3.50;12.46
2019-09-09T23:42:46.000Z;71.77;3.50;12.44
2019-09-09T23:43:46.000Z;71.97;4.10;12.44
2019-09-09T23:44:47.000Z;71.87;3.70;12.41
2019-09-09T23:45:47.000Z;71.97;3.40;12.41
2019-09-09T23:46:47.000Z;71.97;4.10;12.41
2019-09-09T23:47:47.000Z;71.97;3.90;12.41
2019-09-09T23:48:47.000Z;71.77;3.90;12.40
2019-09-09T23:49:47.000Z;72.08;3.90;12.40
2019-09-09T23:50:47.000Z;71.97;4.00;12.38
2019-09-09T23:51:47.000Z;72.28;3.60;12.37
2019-09-09T23:52:47.000Z;72.28;3.90;12.38
2019-09-09T23:53:47.000Z;72.38;3.60;12.37
2019-09-09T23:54:47.000Z;72.48;4.20;12.36
2019-09-09T23:55:47.000Z;72.48;3.80;12.34
2019-09-09T23:56:48.000Z;72.48;4.00;12.36
2019-09-09T23:57:48.000Z;72.58;4.20;12.34
2019-09-09T23:58:48.000Z;72.58;3.90;12.34
2019-09-09T23:59:48.000Z;72.69;4.40;12.33
2019-09-10T00:00:48.000Z;72.89;4.30;12.33
2019-09-10T00:01:48.000Z;72.99;4.70;12.33
2019-09-10T00:02:48.000Z;72.92;4.00;12.30
2019-09-10T00:03:48.000Z;73.03;3.90;12.30
2019-09-10T00:04:48.000Z;73.13;4.30;12.29
2019-09-10T00:05:48.000Z;73.13;4.50;12.26
2019-09-10T00:06:48.000Z;73.23;4.20;12.26
2019-09-10T00:07:49.000Z;73.33;4.20;12.25
2019-09-10T00:08:49.000Z;73.43;3.80;12.25
2019-09-10T00:09:49.000Z;73.33;3.50;12.22
2019-09-10T00:10:49.000Z;73.54;4.30;12.21
2019-09-10T00:11:49.000Z;73.54;4.40;12.21
2019-09-10T00:12:49.000Z;73.64;4.20;12.22
2019-09-10T00:13:49.000Z;73.64;4.60;12.19
2019-09-10T00:14:49.000Z;73.84;4.70;12.19
2019-09-10T00:15:49.000Z;73.84;4.20;12.16
2019-09-10T00:16:49.000Z;73.84;4.30;12.16
2019-09-10T00:17:49.000Z;74.05;3.80;12.16
2019-09-10T00:18:49.000Z;74.15;4.10;12.15
2019-09-10T00:19:50.000Z;74.15;4.30;12.15
2019-09-10T00:20:50.000Z;74.15;3.70;12.15
2019-09-10T00:21:50.000Z;74.15;4.40;12.13
2019-09-10T00:22:50.000Z;74.25;4.20;12.11
2019-09-10T00:23:50.000Z;74.25;4.30;12.08
2019-09-10T00:24:50.000Z;74.55;4.20;12.04
2019-09-10T00:25:50.000Z;74.79;4.60;12.03
2019-09-10T00:26:50.000Z;74.90;4.30;12.01
2019-09-10T00:27:50.000Z;74.90;4.70;12.01
2019-09-10T00:28:50.000Z;75.00;4.20;12.00
2019-09-10T00:29:50.000Z;75.10;4.60;11.98
2019-09-10T00:30:51.000Z;75.10;4.50;11.97
2019-09-10T00:31:51.000Z;75.10;4.90;11.96
2019-09-10T00:32:51.000Z;75.20;4.30;11.94
2019-09-10T00:33:51.000Z;75.10;4.70;11.94
2019-09-10T00:34:51.000Z;75.10;4.80;11.90
2019-09-10T00:35:51.000Z;75.10;4.60;11.87
2019-09-10T00:36:51.000Z;75.31;4.50;11.85
2019-09-10T00:37:51.000Z;75.31;5.10;11.84
2019-09-10T00:38:51.000Z;75.20;4.80;11.84
2019-09-10T00:39:51.000Z;75.04;4.90;11.81
2019-09-10T00:40:51.000Z;75.13;4.50;11.78
2019-09-10T00:41:51.000Z;75.24;4.80;11.78
2019-09-10T00:42:52.000Z;75.24;4.60;11.79
2019-09-10T00:43:52.000Z;75.34;5.20;11.78
2019-09-10T00:44:52.000Z;75.54;4.50;11.77
2019-09-10T00:45:52.000Z;75.85;5.30;11.75
2019-09-10T00:46:52.000Z;75.85;4.80;11.74
2019-09-10T00:47:52.000Z;75.65;4.30;11.72
2019-09-10T00:48:52.000Z;75.75;4.80;11.72
2019-09-10T00:49:52.000Z;75.75;4.30;11.70
2019-09-10T00:50:52.000Z;75.95;4.70;11.69
2019-09-10T00:51:52.000Z;75.85;4.20;11.67
2019-09-10T00:52:52.000Z;76.06;4.40;11.66
2019-09-10T00:53:53.000Z;76.06;4.70;11.66
2019-09-10T00:54:53.000Z;76.16;4.80;11.64
2019-09-10T00:55:53.000Z;76.26;3.70;11.64
2019-09-10T00:56:53.000Z;76.36;5.00;11.64
2019-09-10T00:57:53.000Z;76.36;4.80;11.63
2019-09-10T00:58:53.000Z;76.50;5.10;11.62
2019-09-10T00:59:53.000Z;76.50;5.70;11.62
2019-09-10T01:00:53.000Z;76.50;5.70;11.59
2019-09-10T01:01:53.000Z;76.60;5.50;11.56
2019-09-10T01:02:53.000Z;76.70;5.40;11.53
2019-09-10T01:03:53.000Z;76.81;5.70;11.51
2019-09-10T01:04:53.000Z;77.01;5.70;11.46
2019-09-10T01:05:54.000Z;77.22;5.80;11.44
2019-09-10T01:06:54.000Z;77.31;5.40;11.42
2019-09-10T01:07:54.000Z;77.52;6.10;11.41
2019-09-10T01:08:54.000Z;77.52;5.30;11.39
2019-09-10T01:09:54.000Z;77.52;5.80;11.39
2019-09-10T01:10:54.000Z;77.56;6.00;11.36
2019-09-10T01:11:54.000Z;77.66;5.90;11.35
2019-09-10T01:12:54.000Z;77.76;6.10;11.33
2019-09-10T01:13:54.000Z;77.86;5.80;11.30
2019-09-10T01:14:54.000Z;77.86;5.60;11.31
2019-09-10T01:15:54.000Z;78.07;6.60;11.28
2019-09-10T01:16:55.000Z;78.17;7.30;11.30
2019-09-10T01:17:55.000Z;78.07;6.50;11.28
2019-09-10T01:18:55.000Z;77.97;5.60;11.26
2019-09-10T01:19:55.000Z;77.76;5.10;11.21
2019-09-10T01:20:55.000Z;77.97;4.80;11.21
2019-09-10T01:21:55.000Z;77.97;4.90;11.20
2019-09-10T01:22:55.000Z;78.27;5.30;11.23
2019-09-10T01:23:55.000Z;78.07;5.30;11.23
2019-09-10T01:24:55.000Z;78.17;5.10;11.20
2019-09-10T01:25:55.000Z;78.48;6.30;11.23
2019-09-10T01:26:55.000Z;78.38;6.20;11.24
2019-09-10T01:27:55.000Z;78.48;6.10;11.23
2019-09-10T01:28:56.000Z;78.27;6.70;11.21
2019-09-10T01:29:56.000Z;78.48;7.00;11.20
2019-09-10T01:30:56.000Z;78.58;6.10;11.19
2019-09-10T01:31:56.000Z;78.52;6.20;11.13
2019-09-10T01:32:56.000Z;78.52;5.70;11.13
2019-09-10T01:33:56.000Z;78.61;6.50;11.11
2019-09-10T01:34:56.000Z;78.41;5.90;11.11
2019-09-10T01:35:56.000Z;78.61;5.70;11.09
2019-09-10T01:36:56.000Z;78.61;6.70;11.09
2019-09-10T01:37:56.000Z;78.72;6.10;11.09
2019-09-10T01:38:56.000Z;78.92;6.20;11.08
2019-09-10T01:39:57.000Z;78.92;7.00;11.05
2019-09-10T01:40:57.000Z;78.82;6.20;11.05
2019-09-10T01:41:57.000Z;78.92;6.30;11.02
2019-09-10T01:42:57.000Z;79.13;6.70;11.02
2019-09-10T01:43:57.000Z;79.23;6.90;10.99
2019-09-10T01:44:57.000Z;79.23;7.10;10.99
2019-09-10T01:45:57.000Z;79.43;7.10;10.98
2019-09-10T01:46:57.000Z;79.37;5.90;10.95
2019-09-10T01:47:57.000Z;79.68;6.80;10.94
2019-09-10T01:48:57.000Z;79.57;6.70;10.93
2019-09-10T01:49:57.000Z;79.47;6.10;10.91
2019-09-10T01:50:57.000Z;79.57;7.10;10.91
2019-09-10T01:51:58.000Z;79.57;6.90;10.91
2019-09-10T01:52:58.000Z;79.78;7.30;10.88
2019-09-10T01:53:58.000Z;79.98;7.20;10.87
2019-09-10T01:54:58.000Z;80.08;8.20;10.87
2019-09-10T01:55:58.000Z;80.29;8.20;10.87
2019-09-10T01:56:58.000Z;80.39;7.40;10.87
2019-09-10T01:57:58.000Z;80.39;8.20;10.87
2019-09-10T01:58:58.000Z;80.49;7.70;10.87
2019-09-10T01:59:58.000Z;80.29;7.90;10.86
2019-09-10T02:00:58.000Z;80.39;8.00;10.86
2019-09-10T02:01:58.000Z;80.39;7.90;10.84
2019-09-10T02:02:59.000Z;80.49;8.50;10.84
2019-09-10T02:03:59.000Z;80.49;7.30;10.84
2019-09-10T02:04:59.000Z;80.39;8.40;10.84
2019-09-10T02:05:59.000Z;80.39;8.20;10.83
2019-09-10T02:06:59.000Z;80.39;7.80;10.83
2019-09-10T02:07:59.000Z;80.39;7.50;10.83
2019-09-10T02:08:59.000Z;80.39;7.90;10.81
2019-09-10T02:09:59.000Z;80.19;7.00;10.80
2019-09-10T02:10:59.000Z;80.39;7.20;10.83
2019-09-10T02:11:59.000Z;80.39;8.00;10.84
2019-09-10T02:12:59.000Z;80.29;8.00;10.83
2019-09-10T02:13:59.000Z;80.19;7.40;10.81
2019-09-10T02:15:00.000Z;80.08;6.30;10.78
2019-09-10T02:16:00.000Z;80.08;6.10;10.78
2019-09-10T02:17:00.000Z;80.19;6.10;10.78
2019-09-10T02:18:00.000Z;80.29;6.50;10.80
2019-09-10T02:19:00.000Z;80.19;6.50;10.80
2019-09-10T02:20:00.000Z;80.19;7.00;10.83
2019-09-10T02:21:00.000Z;79.78;6.30;10.83
2019-09-10T02:22:00.000Z;79.88;6.60;10.83
2019-09-10T02:23:00.000Z;79.88;6.60;10.81
2019-09-10T02:24:00.000Z;80.08;6.70;10.83
2019-09-10T02:25:00.000Z;80.29;8.00;10.84
2019-09-10T02:26:01.000Z;80.19;7.80;10.84
2019-09-10T02:27:01.000Z;80.19;8.80;10.86
2019-09-10T02:28:01.000Z;80.08;9.30;10.86
2019-09-10T02:29:01.000Z;80.08;8.40;10.84
2019-09-10T02:30:01.000Z;80.08;7.30;10.81
2019-09-10T02:31:01.000Z;80.19;7.30;10.78
2019-09-10T02:32:01.000Z;80.19;8.30;10.76
2019-09-10T02:33:01.000Z;79.88;6.40;10.75
2019-09-10T02:34:01.000Z;79.78;6.80;10.72
2019-09-10T02:35:01.000Z;79.98;6.20;10.70
2019-09-10T02:36:01.000Z;80.02;6.30;10.69
2019-09-10T02:37:01.000Z;80.12;6.70;10.69
2019-09-10T02:38:02.000Z;80.33;7.70;10.69
2019-09-10T02:39:02.000Z;80.33;7.50;10.68
2019-09-10T02:40:02.000Z;80.43;7.80;10.68
2019-09-10T02:41:02.000Z;80.53;9.30;10.69
2019-09-10T02:42:02.000Z;80.53;8.90;10.69
2019-09-10T02:43:02.000Z;80.53;10.00;10.66
2019-09-10T02:44:02.000Z;80.63;9.70;10.68
2019-09-10T02:45:02.000Z;80.74;9.10;10.65
2019-09-10T02:46:02.000Z;80.74;9.90;10.63
2019-09-10T02:47:02.000Z;80.94;10.50;10.62
2019-09-10T02:48:02.000Z;81.15;11.20;10.60
2019-09-10T02:49:03.000Z;80.94;9.40;10.58
2019-09-10T02:50:03.000Z;81.04;9.50;10.57
2019-09-10T02:51:03.000Z;80.83;9.20;10.55
2019-09-10T02:52:03.000Z;80.53;7.40;10.52
2019-09-10T02:53:03.000Z;81.04;9.30;10.51
2019-09-10T02:54:03.000Z;81.04;9.20;10.54
2019-09-10T02:55:03.000Z;80.94;7.60;10.52
2019-09-10T02:56:03.000Z;81.04;7.80;10.52
2019-09-10T02:57:03.000Z;81.24;10.10;10.52
2019-09-10T02:58:03.000Z;81.24;10.10;10.54
2019-09-10T02:59:03.000Z;81.15;10.40;10.52
2019-09-10T03:00:03.000Z;81.15;9.20;10.51
2019-09-10T03:01:04.000Z;81.24;10.40;10.49
2019-09-10T03:02:04.000Z;81.35;9.30;10.51
2019-09-10T03:03:04.000Z;81.35;10.80;10.51
2019-09-10T03:04:04.000Z;81.38;10.20;10.49
2019-09-10T03:05:04.000Z;81.29;9.00;10.49
2019-09-10T03:06:04.000Z;81.29;10.10;10.47
2019-09-10T03:07:04.000Z;81.18;11.20;10.47
2019-09-10T03:08:04.000Z;81.59;11.20;10.43
2019-09-10T03:09:04.000Z;81.49;10.20;10.42
2019-09-10T03:10:04.000Z;81.38;9.50;10.38
2019-09-10T03:11:04.000Z;81.29;10.80;10.38
2019-09-10T03:12:05.000Z;81.18;7.00;10.34
2019-09-10T03:13:05.000Z;81.18;7.80;10.32
2019-09-10T03:14:05.000Z;81.38;8.50;10.32
2019-09-10T03:15:05.000Z;81.70;9.30;10.32
2019-09-10T03:16:05.000Z;81.59;8.30;10.32
2019-09-10T03:17:05.000Z;81.59;8.30;10.35
2019-09-10T03:18:05.000Z;81.38;8.20;10.38
2019-09-10T03:19:05.000Z;81.18;7.60;10.36
2019-09-10T03:20:05.000Z;81.29;7.70;10.36
2019-09-10T03:21:05.000Z;81.18;7.90;10.38
2019-09-10T03:22:05.000Z;81.38;8.90;10.38
2019-09-10T03:23:05.000Z;81.18;8.00;10.39
2019-09-10T03:24:06.000Z;81.18;8.80;10.42
2019-09-10T03:25:06.000Z;81.38;8.00;10.39
2019-09-10T03:26:06.000Z;81.59;8.80;10.39
2019-09-10T03:27:06.000Z;81.59;9.20;10.39
2019-09-10T03:28:06.000Z;81.79;8.20;10.35
2019-09-10T03:29:06.000Z;81.70;8.90;10.39
2019-09-10T03:30:06.000Z;81.59;8.90;10.42
2019-09-10T03:31:06.000Z;81.90;9.10;10.34
2019-09-10T03:32:06.000Z;82.21;9.10;10.35
2019-09-10T03:33:06.000Z;82.21;9.70;10.38
2019-09-10T03:34:06.000Z;81.90;8.70;10.42
2019-09-10T03:35:07.000Z;81.49;8.40;10.46
2019-09-10T03:36:07.000Z;81.18;7.80;10.47
2019-09-10T03:37:07.000Z;81.18;7.80;10.47
2019-09-10T03:38:07.000Z;81.38;9.00;10.46
2019-09-10T03:39:07.000Z;81.29;10.10;10.44
2019-09-10T03:40:07.000Z;81.29;8.40;10.43
2019-09-10T03:41:07.000Z;81.49;10.10;10.43
